param_C,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
0.001,0.6112500000000001,0.007288689868556645,0.9482697213682059,0.009626216077828981,0.01875,0.4,6,0.005710029602050781,0.0016135901605015658,0.02250185012817383,0.0020601522566715473,{'C': 0.001},0.625,0.6125,0.60625,0.60625,0.60625,0.9537524687294272,0.9491081656030109,0.9410898379970545,0.9505809196530846,0.9468172148584519,0.004237113292280425,2,0.03225806451612903,0.015873015873015872,0.0,0.0,0.0,0.01287800589646154,6,0.0625,0.03125,0.0,0.0,0.0,0.024999999999999998,6,1.0,1.0,0.0,0.0,0.0,0.48989794855663565,6
0.01, 0.85625,0.011858541225631427,0.9484346803791908,0.7165386584741422,0.7960889519620157,0.9007314610114905,2,0.009567928314208985,0.000887844877141521,0.0322354793548584,0.007073467392755984,{'C': 0.01},0.875,0.84375,0.85625,0.8625,0.84375,0.9549045424621462,0.9527082310587465,0.9394534446080838,0.9484536082474226,0.9466535755195549,0.005365773747459379,1,0.7096774193548387,0.7301587301587301,0.6825396825396826,0.7936507936507936,0.6666666666666666,0.04432157550873978,5,0.8148148148148148,0.7863247863247863,0.7889908256880734,0.819672131147541,0.7706422018348624,0.018439542832208666,5,0.9565217391304348,0.8518518518518519,0.9347826086956522,0.847457627118644,0.9130434782608695,0.04393390292061105,1
0.1,  0.8587499999999999,0.016583123951776985,0.9460088591472505,0.8152585765488991,0.8190068421767647,0.8262643423525278,1,0.00926380157470703,0.0016505664637730833,0.02783827781677246,0.0031233423110994443,{'C': 0.1},0.85625,0.83125,0.86875,0.85625,0.88125,0.9514483212639895,0.9545082637866144,0.9348715431189658,0.9420716740304369,0.9471444935362461,0.006966470092758503,3,0.8064516129032258,0.7619047619047619,0.7936507936507936,0.9047619047619048,0.8095238095238095,0.04782221605393438,1,0.8130081300813008,0.7804878048780488,0.8264462809917356,0.8321167883211679,0.8429752066115702,0.021547153931295093,1,0.819672131147541,0.8,0.8620689655172413,0.7702702702702703,0.8793103448275862,0.03991104722927232,2
1.0,  0.8537500000000001,0.012247448713915886,0.9436180280780976,0.8152073732718893,0.8137523859086567,0.8155370936371215,5,0.010075664520263672,0.0029050396160366556,0.027880764007568358,0.003992794201951248,{'C': 1},0.85,0.8375,0.85625,0.85,0.875,0.9499670836076366,0.9535264277532318,0.9322533136966127,0.9363442971690394,0.9459990181639666,0.008077374552891481,4,0.7903225806451613,0.7777777777777778,0.7936507936507936,0.9047619047619048,0.8095238095238095,0.045906929008948896,2,0.8032786885245902,0.7903225806451613,0.8130081300813008,0.8260869565217391,0.8360655737704918,0.01618164400227331,4,0.8166666666666667,0.8032786885245902,0.8333333333333334,0.76,0.864406779661017,0.03446988703256674,5
10.0, 0.85625,0.0125,0.9427659723683288,0.8152073732718893,0.8162911524817904,0.8204160064482376,2,0.01033329963684082,0.0018781203255349378,0.025525379180908202,0.0028074807875414975,{'C': 10},0.85,0.8375,0.8625,0.85625,0.875,0.9489795918367347,0.9533627884143347,0.9311078383243332,0.9347079037800687,0.9456717394861724,0.008487515755685604,5,0.7903225806451613,0.7777777777777778,0.7936507936507936,0.9047619047619048,0.8095238095238095,0.045906929008948896,2,0.8032786885245902,0.7903225806451613,0.819672131147541,0.8321167883211679,0.8360655737704918,0.017300869603771377,2,0.8166666666666667,0.8032786885245902,0.847457627118644,0.7702702702702703,0.864406779661017,0.03313239335630458,3
100.0,0.85625,0.0125,0.942635249421795,0.8152073732718893,0.8162911524817904,0.8204160064482376,2,0.008568000793457032,0.00023639374168220038,0.020917844772338868,0.0016665718747839804,{'C': 100},0.85,0.8375,0.8625,0.85625,0.875,0.9491441737985516,0.9531991490754377,0.930780559646539,0.9343806251022745,0.9456717394861724,0.008623860349861994,6,0.7903225806451613,0.7777777777777778,0.7936507936507936,0.9047619047619048,0.8095238095238095,0.045906929008948896,2,0.8032786885245902,0.7903225806451613,0.819672131147541,0.8321167883211679,0.8360655737704918,0.017300869603771377,2,0.8166666666666667,0.8032786885245902,0.847457627118644,0.7702702702702703,0.864406779661017,0.03313239335630458,3
