param_metric,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
minkowski,0.9087500000000001,0.012869537676233769,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739,1,0.0034087181091308595,0.001103621502478776,0.026968955993652344,0.006411103512400657,{'metric': 'minkowski'},0.90625,0.925,0.8875,0.90625,0.91875,0.9789335088874259,0.9697267223040419,0.9704630993290787,0.9702176403207331,0.9653084601538209,0.004423374152189121,1,0.7903225806451613,0.8888888888888888,0.746031746031746,0.8571428571428571,0.8412698412698413,0.050631627187298835,1,0.8672566371681416,0.9032258064516129,0.8392857142857143,0.8780487804878049,0.8907563025210085,0.02185025648975959,1,0.9607843137254902,0.9180327868852459,0.9591836734693877,0.9,0.9464285714285714,0.023980812960379138,2
euclidean,0.9087500000000001,0.012869537676233769,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739,1,0.005602121353149414,0.0008843135176030239,0.03448805809020996,0.00376661296899613,{'metric': 'euclidean'},0.90625,0.925,0.8875,0.90625,0.91875,0.9789335088874259,0.9697267223040419,0.9704630993290787,0.9702176403207331,0.9653084601538209,0.004423374152189121,1,0.7903225806451613,0.8888888888888888,0.746031746031746,0.8571428571428571,0.8412698412698413,0.050631627187298835,1,0.8672566371681416,0.9032258064516129,0.8392857142857143,0.8780487804878049,0.8907563025210085,0.02185025648975959,1,0.9607843137254902,0.9180327868852459,0.9591836734693877,0.9,0.9464285714285714,0.023980812960379138,2
manhattan,0.8987499999999999,0.021794494717703398,0.9688427116772882,0.7896569380440349,0.8576716436390244,0.9468278018278019,3,0.00552678108215332,0.000675660653379775,0.030538034439086915,0.002499698663770772,{'metric': 'manhattan'},0.8875,0.88125,0.875,0.925,0.925,0.9711158657011192,0.9598265423007691,0.9697267223040419,0.9761086565210276,0.9674357715594829,0.005329417401512218,3,0.7419354838709677,0.7777777777777778,0.6825396825396826,0.9047619047619048,0.8412698412698413,0.07720829386319407,3,0.8363636363636363,0.8376068376068376,0.8113207547169812,0.9047619047619048,0.8983050847457628,0.03707722143801149,3,0.9583333333333334,0.9074074074074074,1.0,0.9047619047619048,0.9636363636363636,0.03623725943274034,1
