Stage,Accuracy,ROC-AUC,Recall,F1-score,Precision
KNN n_neighbors,0.9087500000000001,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739
"KNN weights (uniform, forced)",0.9087500000000001,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739
KNN metric,0.9087500000000001,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739
LR C,0.8587499999999999,0.9460088591472505,0.8152585765488991,0.8190068421767647,0.8262643423525278
Final Model (CV),0.9012499999999999,0.9659644502962476,0.8374807987711212,0.8695785718723661,0.908263911812792
