Stage,Accuracy,ROC-AUC,Recall,F1-score,Precision
KNN n_neighbors,0.9862500000000001,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486
"KNN weights (uniform, forced)",0.9862500000000001,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486
KNN metric,0.9862500000000001,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486
LR C,0.8637500000000001,0.9528185179403765,0.8183307731694829,0.8248734607539472,0.8349414248032586
Final Model (CV),0.9862500000000001,0.9991148393732839,0.9872503840245775,0.982674193548387,0.9783126550868486
