param_metric,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
minkowski,   0.9862500000000001,0.010000000000000016,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486,1,0.0033966064453125,0.0009680882355185223,0.02632603645324707,0.0017032623464556583,{'metric': 'minkowski'},0.9875,1.0,0.99375,0.975,0.975,0.9990947992100065,1.0,0.9997545409916544,0.9985272459499264,0.9937817051219112,0.002283885795612284,1,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,0.9838709677419355,1.0,0.992,0.96875,0.96875,0.012460761097043223,1,0.9838709677419355,1.0,1.0,0.9538461538461539,0.9538461538461539,0.020826886777708845,1
euclidean,   0.9862500000000001,0.010000000000000016,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486,1,0.006005334854125977,0.002269541308546844,0.0286684513092041,0.00359053249943066,{'metric': 'euclidean'},0.9875,1.0,0.99375,0.975,0.975,0.9990947992100065,1.0,0.9997545409916544,0.9985272459499264,0.9937817051219112,0.002283885795612284,1,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,0.9838709677419355,1.0,0.992,0.96875,0.96875,0.012460761097043223,1,0.9838709677419355,1.0,1.0,0.9538461538461539,0.9538461538461539,0.020826886777708845,1
manhattan,   0.9862500000000001,0.010000000000000016,0.9982152943208099,0.9872503840245775,0.982674193548387,0.9783126550868486,1,0.008474969863891601,0.00512840001118279,0.028134632110595702,0.002901060241007184,{'metric': 'manhattan'},0.9875,1.0,0.99375,0.975,0.975,0.9990947992100065,1.0,0.9997545409916544,0.9985272459499264,0.9936998854524628,0.002315781276045567,3,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,0.9838709677419355,1.0,0.992,0.96875,0.96875,0.012460761097043223,1,0.9838709677419355,1.0,1.0,0.9538461538461539,0.9538461538461539,0.020826886777708845,1
