param_weights,mean_train_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision
uniform,      0.9946875000000001,0.9862500000000001,0.010000000000000016,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486,2,0.004259824752807617,0.0005851514914626862,0.02560582160949707,0.002069515998021209,{'weights': 'uniform'},0.9875,1.0,0.99375,0.975,0.975,0.996875,0.99375,0.9953125,0.99375,0.99375,0.0012499999999999788,0.9990947992100065,1.0,0.9997545409916544,0.9985272459499264,0.9937817051219112,0.002283885795612284,2,0.9998823842251677,0.9997029875357183,0.9998054056268499,0.9997951638177367,0.999743954772171,0.9997859791955287,6.067839980638181e-05,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,0.996031746031746,0.9920318725099602,0.9960159362549801,0.9960159362549801,0.9920318725099602,0.9944254727123253,0.001954374907495272,0.9838709677419355,1.0,0.992,0.96875,0.96875,0.012460761097043223,2,0.996031746031746,0.9920318725099602,0.9940357852882704,0.9920634920634921,0.9920318725099602,0.9932389536806857,0.0015956459285143977,0.9838709677419355,1.0,1.0,0.9538461538461539,0.9538461538461539,0.020826886777708845,2,0.996031746031746,0.9920318725099602,0.9920634920634921,0.9881422924901185,0.9920318725099602,0.9920602551210553,0.0024949866875050714
distance,     1.0,0.9887500000000001,0.007288689868556645,0.998493952508395,0.9872503840245775,0.9857253746507493,0.9842741935483872,1,0.003914260864257812,0.0007710992733150937,0.025220775604248048,0.00350872249228599,{'weights': 'distance'},0.9875,1.0,0.99375,0.98125,0.98125,1.0,1.0,1.0,1.0,1.0,0.0,0.999506254114549,1.0,0.9996727213222059,0.9990181639666176,0.9942726231386024,0.0021343312210812013,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9838709677419355,1.0,0.992,0.9763779527559056,0.9763779527559056,0.009179578087023335,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9838709677419355,1.0,1.0,0.96875,0.96875,0.013976879042287914,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
