Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.995,1.0,0.9871794871794872,0.9935483870967742,1.0
SVM,0.925,0.9090909090909091,0.8974358974358975,0.9032258064516129,0.9871794871794872
Hybrid RF+SVM+LR,0.995,1.0,0.9871794871794872,0.9935483870967742,1.0
