param_C,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
0.001,0.60875,0.005000000000000026,0.9527874867938528,0.0032258064516129032,0.006349206349206349,0.2,6,0.005745458602905274,0.0012670146844710305,0.02279243469238281,0.0028662653164491735,{'C': 0.001},0.61875,0.60625,0.60625,0.60625,0.60625,0.9549045424621462,0.9602356406480117,0.9458353788250695,0.9548355424644085,0.9481263295696285,0.005180919695307561,4,0.016129032258064516,0.0,0.0,0.0,0.0,0.006451612903225807,6,0.031746031746031744,0.0,0.0,0.0,0.0,0.0126984126984127,6,1.0,0.0,0.0,0.0,0.0,0.4000000000000001,6
0.01, 0.8612500000000001,0.014999999999999998,0.952951503181918,0.7419866871479774,0.8073492639864321,0.8885527797325826,5,0.0065247535705566405,0.0009380343242503715,0.02515711784362793,0.003590199634244159,{'C': 0.01},0.86875,0.84375,0.86875,0.88125,0.84375,0.9552337063857801,0.9597447226313205,0.9456717394861724,0.9549991818033055,0.9491081656030109,0.00496619518140961,2,0.7258064516129032,0.7619047619047619,0.7142857142857143,0.8095238095238095,0.6984126984126984,0.0397135468439008,5,0.8108108108108109,0.7933884297520661,0.8108108108108109,0.8429752066115702,0.7787610619469026,0.021472599233147194,5,0.9183673469387755,0.8275862068965517,0.9375,0.8793103448275862,0.88,0.037842395371059434,1
0.1,  0.8625,0.016770509831248413,0.9531467392410905,0.8119815668202766,0.822336606482948,0.8366430788387026,4,0.0075551033020019535,0.0013476106045002207,0.030551671981811523,0.005781387755723991,{'C': 0.1},0.84375,0.84375,0.88125,0.8625,0.88125,0.9542462146148782,0.9603992799869088,0.9456717394861724,0.9554900998199967,0.9499263622974963,0.005010907725451539,1,0.7741935483870968,0.7777777777777778,0.7936507936507936,0.9047619047619048,0.8095238095238095,0.04805846948551775,4,0.7933884297520661,0.7967479674796748,0.8403361344537815,0.8382352941176471,0.8429752066115702,0.022340449740459217,4,0.8135593220338984,0.8166666666666667,0.8928571428571429,0.7808219178082192,0.8793103448275862,0.042493377062118795,2
1.0,  0.8637500000000001,0.018708286933869687,0.9528185179403765,0.8183307731694829,0.8248734607539472,0.8349414248032586,1,0.006451463699340821,0.0005335453377919254,0.02588825225830078,0.0026441655744985013,{'C': 1},0.8375,0.85,0.88125,0.8625,0.8875,0.9534233048057933,0.9600720013091146,0.9458353788250695,0.9548355424644084,0.9499263622974963,0.004778618466252808,3,0.7741935483870968,0.7936507936507936,0.7936507936507936,0.9047619047619048,0.8253968253968254,0.0462310869264455,1,0.7868852459016393,0.8064516129032258,0.8403361344537815,0.8382352941176471,0.8524590163934426,0.024335425595730847,1,0.8,0.819672131147541,0.8928571428571429,0.7808219178082192,0.8813559322033898,0.04447811243365951,3
10.0, 0.8637500000000001,0.018708286933869687,0.9526874179446748,0.8183307731694829,0.8248734607539472,0.8349414248032586,1,0.006917285919189453,0.002189696724193924,0.025379037857055663,0.0045712979148969345,{'C': 10},0.8375,0.85,0.88125,0.8625,0.8875,0.9532587228439763,0.9599083619702176,0.9458353788250695,0.9545082637866142,0.9499263622974963,0.004698037247010996,5,0.7741935483870968,0.7936507936507936,0.7936507936507936,0.9047619047619048,0.8253968253968254,0.0462310869264455,1,0.7868852459016393,0.8064516129032258,0.8403361344537815,0.8382352941176471,0.8524590163934426,0.024335425595730847,1,0.8,0.819672131147541,0.8928571428571429,0.7808219178082192,0.8813559322033898,0.04447811243365951,3
100.0,0.8637500000000001,0.018708286933869687,0.9525565064735572,0.8183307731694829,0.8248734607539472,0.8349414248032586,1,0.006459617614746093,0.0010153989224313128,0.021126747131347656,0.002123098188588157,{'C': 100},0.8375,0.85,0.88125,0.8625,0.8875,0.9532587228439763,0.9599083619702176,0.9451808214694812,0.9545082637866142,0.9499263622974963,0.00489225165644511,6,0.7741935483870968,0.7936507936507936,0.7936507936507936,0.9047619047619048,0.8253968253968254,0.0462310869264455,1,0.7868852459016393,0.8064516129032258,0.8403361344537815,0.8382352941176471,0.8524590163934426,0.024335425595730847,1,0.8,0.819672131147541,0.8928571428571429,0.7808219178082192,0.8813559322033898,0.04447811243365951,3
