param_n_neighbors,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
3,0.9862500000000001,0.010000000000000016,0.9982316582546996,0.9872503840245775,0.982674193548387,0.9783126550868486,1,0.08561825752258301,0.02415575862355127,0.044432544708251955,0.007860998448695847,{'n_neighbors': 3},0.9875,1.0,0.99375,0.975,0.975,0.9990947992100065,1.0,0.9997545409916544,0.9985272459499264,0.9937817051219112,0.002283885795612284,10,0.9838709677419355,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.006375579074766376,1,0.9838709677419355,1.0,0.992,0.96875,0.96875,0.012460761097043223,1,0.9838709677419355,1.0,1.0,0.9538461538461539,0.9538461538461539,0.020826886777708845,10
4,0.98125,0.006846531968814593,0.9980340656382273,0.9648745519713261,0.9757326693345598,0.9871855663169222,3,0.07391691207885742,0.030216144641339315,0.03380913734436035,0.004287641384450117,{'n_neighbors': 4},0.96875,0.9875,0.98125,0.98125,0.9875,0.9980250164581962,1.0,0.9995090819833088,0.998772704958272,0.9938635247913598,0.002189961279165554,12,0.9354838709677419,0.9682539682539683,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.01882888686463885,9,0.9586776859504132,0.9838709677419355,0.975609756097561,0.9763779527559056,0.9841269841269841,0.009252030894814552,3,0.9830508474576272,1.0,1.0,0.96875,0.9841269841269841,0.01178762360885052,2
5,0.9825000000000002,0.009185586535436926,0.9979362590840571,0.9776241679467486,0.9776154378080772,0.9780470690511673,2,0.027192115783691406,0.02269134478527426,0.0356849193572998,0.005350384912699525,{'n_neighbors': 5},0.975,1.0,0.975,0.98125,0.98125,0.9983541803818302,1.0,0.9990999836360661,0.9988545246277205,0.9933726067746685,0.0023434194512244174,15,0.9516129032258065,1.0,0.9523809523809523,1.0,0.9841269841269841,0.02171381202326641,2,0.9672131147540983,1.0,0.967741935483871,0.9767441860465116,0.9763779527559056,0.011908429337875627,2,0.9833333333333333,1.0,0.9836065573770492,0.9545454545454546,0.96875,0.015359329770976572,11
6,0.9762500000000001,0.009185586535436913,0.9989182836420234,0.9553507424475166,0.9691224102124023,0.9837957358084477,6,0.005293798446655273,0.001556438553290651,0.037503623962402345,0.00494789746596445,{'n_neighbors': 6},0.96875,0.98125,0.9625,0.9875,0.98125,0.9985187623436472,1.0,0.9988545246277205,0.9992636229749632,0.9979545082637866,0.0006902050410488119,1,0.9354838709677419,0.9523809523809523,0.9206349206349206,0.9841269841269841,0.9841269841269841,0.02555325689593211,23,0.9586776859504132,0.975609756097561,0.9508196721311475,0.9841269841269841,0.9763779527559056,0.012360811290303045,8,0.9830508474576272,1.0,0.9830508474576272,0.9841269841269841,0.96875,0.0099012300929343,4
7,0.97625,0.008291561975888501,0.9988195344649334,0.9681515616999488,0.9696082594687259,0.9719682580808369,9,0.005435752868652344,0.000707489759445579,0.03610100746154785,0.0033142730443418296,{'n_neighbors': 7},0.975,0.9875,0.9625,0.975,0.98125,0.9980250164581962,1.0,0.9991818033055146,0.9993454426444117,0.9975454099165441,0.0009006630039494652,2,0.967741935483871,0.9682539682539683,0.9206349206349206,1.0,0.9841269841269841,0.02656142542378447,5,0.967741935483871,0.9838709677419355,0.9508196721311475,0.9692307692307692,0.9763779527559056,0.01100809041321133,6,0.967741935483871,1.0,0.9830508474576272,0.9402985074626866,0.96875,0.019696671974226698,19
8,0.9762500000000001,0.0082915619758885,0.9985736041451277,0.9618023553507424,0.9693055350250045,0.9777547104344535,6,0.005794143676757813,0.0019445257457491728,0.03406200408935547,0.003826100298336994,{'n_neighbors': 8},0.975,0.975,0.9625,0.9875,0.98125,0.9976135615536538,1.0,0.9983636066110293,0.9995090819833088,0.9973817705776469,0.001029171697518961,3,0.967741935483871,0.9365079365079365,0.9206349206349206,1.0,0.9841269841269841,0.029418677824071413,16,0.967741935483871,0.9672131147540983,0.9508196721311475,0.984375,0.9763779527559056,0.011186224208718428,7,0.967741935483871,1.0,0.9830508474576272,0.9692307692307692,0.96875,0.012465151592230859,12
9,0.9749999999999999,0.006846531968814552,0.998557145948946,0.9682539682539681,0.9679809851375326,0.9690577219390779,16,0.004822301864624024,0.00041287581896579285,0.0321007251739502,0.005079614561392419,{'n_neighbors': 9},0.98125,0.975,0.9625,0.98125,0.975,0.9975312705727453,0.9999999999999999,0.9986908852888234,0.9997545409916544,0.9968090328915071,0.0012362676458647119,5,1.0,0.9365079365079365,0.9206349206349206,1.0,0.9841269841269841,0.03329551898952863,4,0.9763779527559056,0.9672131147540983,0.9508196721311475,0.9767441860465116,0.96875,0.009412698106735477,13,0.9538461538461539,1.0,0.9830508474576272,0.9545454545454546,0.9538461538461539,0.01911345937276999,23
10,0.9737499999999999,0.006123724356957924,0.9984427869363021,0.9618535586277522,0.966282941579024,0.9717544002607562,19,0.004792547225952149,0.0006687915187803499,0.033112096786499026,0.006101730386225228,{'n_neighbors': 10},0.975,0.975,0.9625,0.98125,0.975,0.9976958525345623,1.0,0.9983636066110293,0.9993454426444117,0.9968090328915071,0.0011378077743125978,6,0.9838709677419355,0.9365079365079365,0.9206349206349206,0.9841269841269841,0.9841269841269841,0.027634594079398306,10,0.9682539682539683,0.9672131147540983,0.9508196721311475,0.9763779527559056,0.96875,0.008388784157677118,18,0.953125,1.0,0.9830508474576272,0.96875,0.9538461538461539,0.017900893209835504,20
11,0.9724999999999999,0.01159202311936963,0.998558371358742,0.9713773681515617,0.9652320208617577,0.9601885842359849,22,0.003910255432128906,0.00017738203848021724,0.026894140243530273,0.0017834045246354192,{'n_neighbors': 11},0.975,0.99375,0.9625,0.96875,0.9625,0.9986010533245556,1.0,0.9979545082637866,0.9991818033055146,0.9970544918998527,0.001009463852356883,4,0.9838709677419355,0.9841269841269841,0.9206349206349206,0.9841269841269841,0.9841269841269841,0.02537141751367433,3,0.9682539682539683,0.992,0.9508196721311475,0.9612403100775194,0.9538461538461539,0.014689754196727753,22,0.953125,1.0,0.9830508474576272,0.9393939393939394,0.9253731343283582,0.02757556502915961,28
12,0.975,0.010458250331675936,0.9983946377575528,0.9586789554531491,0.967787472947329,0.9775625504439065,10,0.004651117324829102,0.000527640114803616,0.03332400321960449,0.0034863557433789487,{'n_neighbors': 12},0.98125,0.98125,0.9625,0.9875,0.9625,0.9985187623436471,1.0,0.997545409916544,0.9988545246277205,0.9970544918998527,0.0010316268338460416,7,0.9838709677419355,0.9523809523809523,0.9206349206349206,0.9841269841269841,0.9523809523809523,0.023701974251897566,18,0.976,0.975609756097561,0.9508196721311475,0.9841269841269841,0.9523809523809523,0.013571149401308099,14,0.9682539682539683,1.0,0.9830508474576272,0.9841269841269841,0.9523809523809523,0.016108475530996664,13
