param_C,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
0.001,0.7953271028037383,0.02566267330419812,0.8740147969151829,0.9364229156963205,0.8290059891381316,0.7439442910094878,4,0.004782295227050782,0.0015465914500059433,0.02068324089050293,0.0067489965266914875,{'C': 0.001},0.8177570093457944,0.7476635514018691,0.7990654205607477,0.8177570093457944,0.794392523364486,0.8711995093314641,0.8361517567685972,0.8608604223254184,0.9053710680802592,0.8964912280701756,0.024911759965974972,5,0.9380530973451328,0.9203539823008849,0.9469026548672567,0.9557522123893806,0.9210526315789473,0.014004002215531379,1,0.8446215139442231,0.7938931297709924,0.8326848249027238,0.8470588235294118,0.8267716535433071,0.01908501205448028,1,0.7681159420289855,0.697986577181208,0.7430555555555556,0.7605633802816901,0.75,0.02453583405410428,5
0.01,0.7953271028037383,0.026989773977932074,0.8879659006888113,0.8550846141903431,0.8154066397188003,0.7804163596620495,4,0.01729440689086914,0.020795565014863963,0.028714609146118165,0.0030048840785620997,{'C': 0.01},0.8037383177570093,0.7570093457943925,0.7710280373831776,0.8271028037383178,0.8177570093457944,0.8889862437571191,0.8573556470691317,0.8822395513887672,0.9055463068430737,0.9057017543859649,0.01785749696827599,1,0.831858407079646,0.8672566371681416,0.7964601769911505,0.9026548672566371,0.8771929824561403,0.03708408931391062,2,0.8173913043478261,0.7903225806451613,0.7860262008733624,0.8464730290456431,0.8368200836820083,0.024166154961939898,5,0.8034188034188035,0.725925925925926,0.7758620689655172,0.796875,0.8,0.02889106146178168,4
0.1,0.8028037383177569,0.027629430839428967,0.887562811567603,0.8426641825803445,0.818610313609604,0.7980887282450699,3,0.015189933776855468,0.013734474259784914,0.030274677276611327,0.008963747506290715,{'C': 0.1},0.8084112149532711,0.7663551401869159,0.7757009345794392,0.8271028037383178,0.8364485981308412,0.8944186454043634,0.8645404363445195,0.8783842986068519,0.8949443616928064,0.9055263157894737,0.014411468244842051,2,0.7964601769911505,0.8672566371681416,0.7787610619469026,0.8761061946902655,0.8947368421052632,0.04615872144197576,3,0.8144796380090498,0.7967479674796748,0.7857142857142857,0.8425531914893617,0.8535564853556485,0.02596794035490854,4,0.8333333333333334,0.7368421052631579,0.7927927927927928,0.8114754098360656,0.816,0.033230693181841596,3
1.0,0.8065420560747663,0.028439484214398007,0.8858975037699391,0.8391398851110077,0.8208092376734992,0.8054137591635678,1,0.008412599563598633,0.0019256311801784422,0.02523813247680664,0.0045191485064811025,{'C': 1},0.8037383177570093,0.7710280373831776,0.780373831775701,0.8364485981308412,0.8411214953271028,0.8936300709716989,0.8664680627354772,0.8802243056164024,0.8860071847892753,0.9031578947368422,0.01238881816790454,3,0.7876106194690266,0.8672566371681416,0.7787610619469026,0.8761061946902655,0.8859649122807017,0.046153029074760814,4,0.8090909090909091,0.8,0.7892376681614349,0.8497854077253219,0.8559322033898306,0.02698276765033403,2,0.8317757009345794,0.7424242424242424,0.8,0.825,0.8278688524590164,0.03340596361814189,1
10.0,0.8065420560747663,0.028439484214398007,0.8855819141299319,0.8391398851110077,0.8208092376734992,0.8054137591635678,1,0.006949949264526367,0.0004075709201983623,0.02239055633544922,0.0018229583991415902,{'C': 10},0.8037383177570093,0.7710280373831776,0.780373831775701,0.8364485981308412,0.8411214953271028,0.8940681678787347,0.8665556821168843,0.8807500219048454,0.8840795583983178,0.9024561403508772,0.012201293153417713,4,0.7876106194690266,0.8672566371681416,0.7787610619469026,0.8761061946902655,0.8859649122807017,0.046153029074760814,4,0.8090909090909091,0.8,0.7892376681614349,0.8497854077253219,0.8559322033898306,0.02698276765033403,2,0.8317757009345794,0.7424242424242424,0.8,0.825,0.8278688524590164,0.03340596361814189,1
