Stage,Accuracy,ROC-AUC,Recall,F1-score,Precision
KNN n_neighbors,0.9485981308411215,0.9801516822152638,0.9681415929203541,0.9519962441460559,0.9367491490011078
"KNN weights (uniform, forced)",0.9485981308411215,0.9801516822152638,0.9681415929203541,0.9519962441460559,0.9367491490011078
KNN metric,0.9485981308411215,0.9801516822152638,0.9681415929203541,0.9519962441460559,0.9367491490011078
LR C,0.8065420560747663,0.8858975037699391,0.8391398851110077,0.8208092376734992,0.8054137591635678
Final Model (CV),0.9485981308411215,0.9851034661919849,0.9681415929203541,0.9519962441460559,0.9367491490011078
